Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City,State,Zip,Inspection Date,Inspection Type,Results,Violations,Latitude,Longitude,Location
1989325,LA PENA RESTAURANTE,LA PENA RESTAURANTE,1120265,Restaurant,Risk 1 (High),4212-4214 N MILWAUKEE AVE ,CHICAGO,IL,60641,2/17/2017,Canvass,No Entry,,41.9573322,-87.75179742,"(41.95733219749337, -87.75179741856313)"
1989217,SUBWAY,SUBWAY,2109775,Restaurant,Risk 1 (High),1322 E 47TH ST ,CHICAGO,IL,60653,2/16/2017,Canvass,Pass,"36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: REPLACE MISSING LIGHT SHIELD IN WALK-IN FREEZER. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: STORE MOP HEAD UPRIGHT TO PREVENT INSECT BREEDING. | 42. APPROPRIATE METHOD OF HANDLING OF FOOD (ICE) HAIR RESTRAINTS AND CLEAN APPAREL WORN - Comments: ALL FOOD HANDLERS MUST WEAR HAIR RESTRAINTS.",41.80978194,-87.59413802,"(41.809781935496204, -87.59413802155538)"
1989366,SANABEL GROCERY & BAKERY,SANABEL GROCERY & BAKERY,2009055,GROCERY/BAKERY,Risk 1 (High),4213 N KEDZIE AVE ,CHICAGO,IL,60618,2/17/2017,Canvass,Pass,"36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: WALK IN COOLER LIGHT BULBS BURNED OUT. INSTRUCTED MANAGER TO PROVIDE WORKING LIGHT BULBS INSIDE WALK IN COOLER. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: FLOOR CLUTTERED INSIDE HOT WATER TANK ROOM AND THROUGHOUT UPPER STORAGE ROOM. INSTRUCTED MANAGER TO ELEVATE ALL ITEMS OFF FLOOR OR REMOVE. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: OBSERVED FLOUR/FOOD BUILD UP ON FLOOR THROUGHOUT PREP AREA. MUST CLEAN FLOOR AND MAINTAIN. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: 3-COMPARTMENT SINK GREASE TRAP WITH RUST BUILD. MUST PAINT GREASE TRAP.",41.9579834,-87.70799592,"(41.95798340247807, -87.70799591514717)"
1989361,BARRY'S BOOTCAMP,BARRY'S BOOTCAMP,2511955,Restaurant,Risk 2 (Medium),1933 N HALSTED ST ,CHICAGO,IL,60614,2/17/2017,License,Pass,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: OBSERVED FLOORS NOT CLEAN THROUGHOUT PREMISES, DUST PRESENT. ALSO, FINISH INSTALLING COVING ON WALLS, AND MAINTAIN. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: OBSERVED CLUTTER BEHIND SMOOTHIE BAR. INSTRUCTED TO REMOVE ITEMS NOT BEING USED, ELEVATE ADDITIONAL ITEMS 6' OFF FLOORS TO PREVENT RODENT HARBORAGE, AND MAINTAIN. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: ADJUST DOOR SWEEP ON (SOUTH)EXIT DOOR TO COVER ENTIRE DOOR, AND MAINTAIN.",41.91696663,-87.64830641,"(41.91696663455583, -87.6483064098177)"
1989363,"SUPER MERCADO EL PUEBLO, INC.",SUPER MERCADO EL PUEBLO,2147753,Grocery Store,Risk 1 (High),3632-3638 W LAWRENCE AVE ,CHICAGO,IL,60625,2/17/2017,Canvass,Fail,"45. FOOD HANDLER REQUIREMENTS MET - Comments: ALL FOOD HANDLERS EMPLOYED FOR MORE THAN 30 DAYS WITH NO PROOF OF FOOD HANDLER TRAINING .INSTRUCTED TO PROVIDE FOOD HANDLER CERTIFICATES AND MAINTAIN AS REQUIRED. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: FLOORS ALONG WALLS AND IN ALL CORNERS THROUGHOUT THE PREMISES REQUIRE A DETAIL CLEANING AND REPLACE BROKEN FLOOR TILES AT DELI MEAT PREP AREA AND MAINTAIN. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: OBSERVED MISSING LIGHT SHIELD INSIDE THE REAR WALK-IN-COOLER.INSTRUCTED TO PROVIDE LIGHT SHIELD AND MAINTAIN. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: GASKETS NOT MAINTAINED AT DAIRY COOLER.INSTRUCTED TO REPAIR/REPLACE LOOSE GASKETS AND MAINTAIN. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: GROCERY DISPLAY SHELVINGS THROUGHOUT THE PREMISES AND FAN COVERS INSIDE THE WALK-IN-COOLERS NOT CLEAN.INSTRUCTED TO CLEAN IN DETAIL AND MAINTAIN. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: OBSERVED LOOSE FAUCET AT EXPOSED HANDSINK AT REAR CHICKEN PREP AREA AND NO BACKFLOW PREVENTION DEVICE AT MOP SINK.INSTRUCTED TO REPAIR PLUMBING FAUCET AND PROVIDE A BACKFLOW PREVENTION DEVICE FOR MOP SINK AND MAINTAIN. | 30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: PRE-PACKAGED FOODS AT DISPLAY COOLER MUST HAVE PROPER LABELS FOR RETAIL SALE AND MAINTAIN. | 18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: OBSERVED RODENT MICE DROPPINGS APPROXIMATELY 40 ALONG WEST WALL BASE BENEATH LAUNDRY SOAPS SHELVINGS AND 10 RODENT MICE DROPPINGS ON SODA SHELVINGS AT CUSTOMER AREA AND FRONT DOOR NOT RODENT-PROOFED APPROXIMATELY 1/4' MODE OF ENTRY AT BOTTOM RIGHT CORNER ENTRANCE DOOR.INSTRUCTED MANAGEMENT TO DETAIL CLEAN AND SANITIZE ALL AFFECTED AREAS IN DETAIL,MAKE SAID DOOR TIGHT FITTING TO PREVENT PEST ENTRY AND PEST CONTROL SERVICE IS NOW RECCOMENDED.SERIOUS VIOLATION 7-38-020. ",41.9684434,-87.71961714,"(41.96844340428086, -87.7196171371822)"
1989356,PIZZA NOVA,PIZZA NOVA,5236,Restaurant,Risk 1 (High),1842 W 18TH ST ,CHICAGO,IL,60608,2/17/2017,Complaint,Pass w/ Conditions,"3. POTENTIALLY HAZARDOUS FOOD MEETS TEMPERATURE REQUIREMENT DURING STORAGE, PREPARATION DISPLAY AND SERVICE - Comments: OBSERVED POTENTIALLY HAZARDOUS FOODS AT IMPROPER TEMPERATURES IN THE FOOD PREP AREA.  OBSERVED SLABS OF RIBS SITTING ON THE FOOD PREP TABLE AT 59F.  MANAGEMENT VOLUNTARILY DISCARDED APPROXIMATELY 30# OF FOOD WORTH $139.
CRITICAL VIOLATION 7-38-005A. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: PAINT OR SEAL THE WOOD 2X4'S THAT RUN ALONG THE BASEMENT CEILING IN FRONT OF THE 3 COMPARTMENT SINK. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CLEAN THE GREASE BUILDUP ON THE VENTILATION HOOD. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: NO LIGHT SHIELDS PROVIDED FOR THE LIGHT FIXTURES IN THE BASEMENT IN FRONT OF THE 3 COMPARTMENT SINK.",41.85781115,-87.67282194,"(41.8578111476272, -87.67282193683475)"
1951417,KING PHO,KING PHO,2307718,Restaurant,Risk 1 (High),5414-5416 W DEVON AVE ,CHICAGO,IL,60646,2/17/2017,Complaint,Pass,"30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: Found some food items not properly dated in reach in cooler, must properly date food items in reach in cooler. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: Caulk around exposed hand sink in kitchen prep area shall be repaired/replaced. 
 | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: Above violation still remaining( Cooler shelving/racks that had peeling paint/rust, shall be repaired/replaced). 
 | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: Non food contact surfaces of ice machine(exterior) not clean, need detailed cleaning(corners). | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: Floors in bar area under shelving/racks by exposed hand sink not clean, need detailed cleaning(corners). | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: Walls that had exposed plaster, peeling paint by prep area, shall be repaired/sealed.",41.99743829,-87.76439912,"(41.997438286068146, -87.76439911874026)"
1989331,RAINFOREST CAFE,RAINFOREST CAFE,57300,Restaurant,Risk 1 (High),605 N CLARK ST ,CHICAGO,IL,60654,2/17/2017,Complaint,Pass w/ Conditions,"6. HANDS WASHED AND CLEANED, GOOD HYGIENIC PRACTICES; NO BARE HAND CONTACT WITH READY-TO-EAT FOODS. - Comments: BARE HAND CONTACT WITH READY-TO-EAT FOODS. OBSERVED A COOK PLACING HAMBURGER BUNS ON PLATES WITH BARE HANDS, INSTRUCTED MGR NOT TO ALLOW BARE HAND CONTACT WITH READY-TO-EAT FOODS, CRITICAL CITATION ISSUED 7-38-010 | 8. SANITIZING RINSE FOR EQUIPMENT AND UTENSILS:  CLEAN, PROPER TEMPERATURE, CONCENTRATION, EXPOSURE TIME - Comments: INADEQUATE UTENSILS SANITIZING, FOUND HIGH TEMP DISH WASHING MACHINE WITH FINAL RINSE TEMPERATURE AT 140F WHILE MACHINE BEING USED. INSTRUCTED TO PROVIDE 180F MINIMUM FOR FINAL RINSE.CRITICAL CITAION ISSUED 7-38-030. MACHINE IS TAGGED NOT ALLOWED TO USE, MUST CONTACT THE OFFICE OF CDPH WHEN REPAIRED.  | 42. APPROPRIATE METHOD OF HANDLING OF FOOD (ICE) HAIR RESTRAINTS AND CLEAN APPAREL WORN - Comments: FOOD HANDLERS WITH BEARD NOT WEARING BEARD RESTRINT, INSTRUCTED WEAR. | 43. FOOD (ICE) DISPENSING UTENSILS, WASH CLOTHS PROPERLY STORED - Comments: ICE SCOOP HOLDER NOT CLEAN, INSTRUCTED TO CLEAN ADN MAINTAIN.",41.89257276,-87.63100541,"(41.89257275728285, -87.63100540748637)"
1989354,NEW JB-ONE,NEW JB-ONE,1820524,Restaurant,Risk 1 (High),6359 S COTTAGE GROVE AVE ,CHICAGO,IL,60637,2/17/2017,Canvass,Pass w/ Conditions,"21. * CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE  PREPARED AND SERVED - Comments: NO CITY OF CHICAGO FOOD SERVICE MANAGER ON DUTY AS REQUIRED WHILE POTENTIALLY HAZARDOUS FOODS ARE BEING PREPARED AND SERVED SUCH AS CHICKEN, BEEF AND FISH.
MANAGER PRESENTED A SERV SAFE CERTIFICATE THAT INDICATES HE TOOK THE EXAM ON APRIL 27, 2016. INSTRUCTED HIM THAT HE SHOULD HAVE FOLLOWED UP WITH SERV SAFE REGARDING HIS CERTIFICATE AND OBTAINED THE CITY OF CHICAGO CERTIFICATE BY NOW.
SERIOUS VIOLATION 7-38-012. | 28. * INSPECTION REPORT SUMMARY DISPLAYED AND VISIBLE TO ALL CUSTOMERS - Comments: THE INSPECTION REPORT SUMMARY FROM THE PREVIOUS INSPECTION ON NOVEMBER 10, 2016 WAS NOT POSTED IN PLAIN VIEW OF CUSTOMERS AS REQUIRED.  IT WAS POSTED ON A WALL NEAR THE FRONT COUNTER WINDOW BUT WAS NOT VISIBLE DUE TO OTHER SIGNS POSTED IN THE WINDOW.  INSTRUCTED THAT THE SUMMARY MUST BE VISIBLY POSTED. 
SERIOUS VIOLATION 7-42-010B. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST CLEAN FLOORS BEHIND DEEP FREEZERS AND IN STORAGE CLOSET IN THE REAR. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: OBSERVED HEAVY DUST BUILD UP ON THE VENTILATION FAN ON THE WASHROOM CEILING; INSTRUCTED TO CLEAN FAN TO REMOVE DUST BUILD UP. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: FOUND CLUTTER INSIDE OF THE REAR STORAGE CLOSET AND IN THE WASHROOM; INSTRUCTED TO ORGANIZE AND MAINTAIN BOTH AREAS. | 37. TOILET ROOM DOORS SELF CLOSING: DRESSING ROOMS WITH LOCKERS PROVIDED: COMPLETE SEPARATION FROM LIVING/SLEEPING QUARTERS - Comments: CORRECTED FROM 11/10/2016. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CORRECTED FROM 11/10/16. | 42. APPROPRIATE METHOD OF HANDLING OF FOOD (ICE) HAIR RESTRAINTS AND CLEAN APPAREL WORN - Comments: CORRECTED FROM 11/10/16.",41.77868683,-87.6057456,"(41.77868683415653, -87.60574560006991)"
1989353,CERMAK PRODUCE,CERMAK PRODUCE,1476654,Grocery Store,Risk 1 (High),4234 N KEDZIE AVE ,CHICAGO,IL,60618,2/17/2017,Canvass,Pass,"40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: DIARY REACH IN COOLER THERMOMETERS NOT WORKING BY YOGURT AND MILK. MUST REPAIR AND MAINTAIN THERMOMETERS. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: OBSERVED DUST/GREASE BUILD UP ON VENTILATION HOOD ABOVE REAR COOKING LINE. MUST CLEAN AND MAINTAIN VENTILATION HOODS. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: OBSERVED FOOD/DIRT BUILD UP ON WALL BEHIND 3-COMPARTMENT SINK AT REAR COOK LINE PREP AREA. MUST CLEAN WALL AND MAINTAIN. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: OBSERVED CEILING LIGHT BULB MISSING END CAPS AT MEAT PREP AREA ABOVE 3-COMPARTMENT SINK. MUST PROVIDE END CAPS FOR LIGHT COVERS. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: MUST PROVIDE SPLASH GUARD BETWEEN EXPOSED HAND WASH BOWL AND PREP TABLE AT MEAT PREP AREA. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: MENS AND WOMENS WASHROOMS CEILING VENTILATION NOT WORKING. MUST PROVIDE AND INSTALL WORKING CEILING VENTILATION FANS IN BOTH WASHROOMS.",41.95859672,-87.70830958,"(41.95859672468275, -87.70830957589537)"
1989352,ROJO GUSANO,ROJO GUSANO,1305286,Restaurant,Risk 1 (High),3830 W LAWRENCE AVE ,CHICAGO,IL,60625,2/17/2017,Canvass,No Entry,,41.96839043,-87.72444786,"(41.968390431264375, -87.72444785924317)"
1989349,TWO WAY LOUNE,TWO WAY LOUNE,1276355,Liquor,Risk 3 (Low),2928 W FULLERTON AVE ,CHICAGO,IL,60647,2/17/2017,Canvass,Out of Business,,41.92488367,-87.7010487,"(41.92488366892586, -87.70104870385482)"
1989347,BACCI CAFE AND PIZZERIA ON MILAUKEE AVE. INC.,BACCI CAFE AND PIZZERIA,1444299,Restaurant,Risk 1 (High),4367 N MILWAUKEE AVE ,CHICAGO,IL,60641,2/17/2017,Canvass,Fail,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: FOUND EVIDENCE OF MICE DROPPINGS OVER 25 TOTAL ON THE STAIRWAY GOING TO THE BASEMENT. INSTRUCTED TO REMOVE THE DROPPINGS AND SANITIZE AFFECTED AREAS. 
ALSO FRONT AND SIDE DOORS NOT RODENT/INSECTS PROOFED WITH OVER 1/4 OF AN INCH GAP ON THE BOTTOM OF THE DOORS. INSTRUCTED TO RODENT/INSECTS PROOFED THE DOORS.
SERIOUS VIOLATION 7-38-020. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: MUST CLEAN IN DETAIL REMOVE GREASE BUILD -UP ON THE EXTERIOR SIDES OF THE GRILL, DEEP FRYER AND STOVE AND MAINTAIN. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: FILTER ABOVE THE GRILL WITH HEAVY GREASE ACCUMULATED. MUST CLEAN REMOVE GREASE AND MAINTAIN.

CEILING VENT ABOVE THE COOK LINE WITH HEAVY DUST BUILD-UP. MUST CLEAN REMOVE DUST AND MAINTAIN.

CEILING VENT COVER INSIDE THE WOMEN'S WASHROOM WITH HEAVY DUST BUILD-UP. MUST CLEAN,REMOVE DUST AND MAINTAIN. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: RE CAULK AROUND THE WASHBOWL SINK INSIDE THE MEN'S WASHROOM CAULK WORN OUT AND MAINTAIN.",41.96055088,-87.75423075,"(41.96055088007665, -87.7542307472157)"
